factor_index,kind,factor_id,label,pose_ids,raw_residual,normalized_norm,robust_weight
181,odometry,180,"odom(180,181)","[180, 181]","[-0.04965172268949081, 0.013344736287862341, -0.034774635363873596]",2.1662588012099384,1.0
182,odometry,181,"odom(181,182)","[181, 182]","[-0.04755956161197128, 0.01454081208313017, -0.03697587965894744]",2.267187931891066,1.0
183,odometry,182,"odom(182,183)","[182, 183]","[-0.004155219956625322, 0.017278320164319325, -0.038802107393949736]",2.212767187686579,1.0
184,odometry,183,"odom(183,184)","[183, 184]","[-0.009583264073015352, 0.016920731816454333, -0.04197550715414122]",2.3879237179287,1.0
185,odometry,184,"odom(184,185)","[184, 185]","[-0.0068149691987452465, 0.017139306419511943, -0.045873952457736955]",2.598129318221917,1.0
186,odometry,185,"odom(185,186)","[185, 186]","[-0.027422055865847783, 0.011319344333680745, -0.02514138554783063]",1.5179168507750973,1.0
187,odometry,186,"odom(186,187)","[186, 187]","[-0.028972597668795397, 0.010667163840897775, -0.026146490657336763]",1.5749211683577409,1.0
188,odometry,187,"odom(187,188)","[187, 188]","[-0.03533546215067629, 0.006832749430744162, -0.027259100048484086]",1.656580991424152,1.0
189,odometry,188,"odom(188,189)","[188, 189]","[-0.0376400632312377, 0.004371182159437478, -0.028889350087692556]",1.7492461239722938,1.0
190,odometry,189,"odom(189,190)","[189, 190]","[-0.03754161593925043, -0.0008614483543095235, -0.028829857771492495]",1.7412136560221656,1.0
191,odometry,190,"odom(190,191)","[190, 191]","[0.015939420710782026, -0.007164688374236519, -0.01695314117277924]",1.0064579317406932,1.0
192,odometry,191,"odom(191,192)","[191, 192]","[0.015797903005886682, -0.007215845367146173, -0.01488518013401885]",0.8993676763224088,1.0
193,odometry,192,"odom(192,193)","[192, 193]","[0.015785162854120516, -0.007220336205886135, -0.014172591445818394]",0.8630608194969347,1.0
194,odometry,193,"odom(193,194)","[193, 194]","[0.014371906755701103, -0.007689031354954107, -0.012624455928460065]",0.7800305990038606,1.0
195,odometry,194,"odom(194,195)","[194, 195]","[0.01587330179833346, -0.007188380400969623, -0.010799482345733136]",0.696735606812292,1.0
196,odometry,195,"odom(195,196)","[195, 196]","[0.024595846767041296, -0.0011818397322541745, -0.0004924199808842289]",0.4493038342134816,1.0
197,odometry,196,"odom(196,197)","[196, 197]","[0.02003082242483567, -0.0009309771744595782, -0.00024141632160867843]",0.36541304820489523,1.0
198,odometry,197,"odom(197,198)","[197, 198]","[0.020077077592812964, 0.0007491194218758324, -0.0008603909283459998]",0.3687756426567843,1.0
199,odometry,198,"odom(198,199)","[198, 199]","[-0.008296491308850684, -0.003733951038822316, -0.005244511041456512]",0.3450036248407516,1.0
